UPM;NVIVI;NHOGA;AÑO;DPTO;AREA;HOMBRES;MUJERES;TOTAL;V01;V02A;V02B;V03;V04;V05;V06;V07;V07A;V08;V09;V10;V11A;V11B;V12;V13;V14A;V14B;V15;V16;V17;V18;V19;V20;V21;V21G;V23A1;V23A2;V23B;V23C1;V23C2;V2401;V2402;V2403;V2404;V2404A;V2404B;V2405;V2406;V2407;V2408;V2409;V2410;V2411;V2412;V2413;V2414;THOGAV;FACTOR;POBREZAI;POBNOPOI
116;59;1;2025;0;1;1;1;2;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;4000000; ;1;2000000;1;6;1;1;6;6;1;1;1;6;6;1;6;1;1;6;1;6;1;1;6;2;101;3;0
116;67;1;2025;0;1;0;1;1;2;2;1;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1950000; ; ;6; ;6;6;1;1;1;1;1;1;1;1;6;1;6;1;1;6;1;1;6;1;6;1;183;3;0
116;94;1;2025;0;1;3;3;6;1;4;3;4;4;1;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;1500000; ; ;6; ;1;6;1;1;6;6;1;1;1;1;6;1;6;6;1;6;1;6;6;1;6;4;115;3;0
131;22;1;2025;0;1;2;1;3;2;4;3;4;5;6;1;1;2;11;7;1;1;1;1;1;1;2;2;4; ;2900000; ; ;6; ;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;1;1;6;1;6;4;145;3;0
131;47;1;2025;0;1;0;5;5;2;5;4;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;1800000; ; ;6; ;6;6;1;1;6;6;1;1;6;1;6;1;6;6;1;6;1;6;6;1;6;4;128;3;0
131;52;1;2025;0;1;2;2;4;2;3;2;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;2300000; ; ;6; ;1;6;1;1;6;6;1;1;1;6;6;1;6;6;1;6;1;1;1;6;6;2;164;3;0
131;64;1;2025;0;1;1;1;2;2;4;3;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;2500000; ; ;6; ;1;6;1;1;6;1;1;1;1;1;6;1;6;6;1;6;1;1;1;1;6;3;174;3;0
131;68;1;2025;0;1;0;1;1;2;2;1;4;5;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;1300000; ; ;1;1300000;1;1;1;1;1;1;1;1;6;1;6;1;6;6;1;6;1;1;1;1;6;1;69;3;0
131;71;1;2025;0;1;1;0;1;2;2;1;4;5;6;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;1400000; ; ;6; ;1;6;1;1;6;1;6;1;1;6;6;6;6;6;1;6;6;6;6;6;6;1;160;3;0
146;3;1;2025;0;1;0;3;3;1;4;3;4;5;4;2;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;99999999999;99999999999;1;12000000;1;1;1;1;6;6;1;1;1;6;6;1;6;1;1;6;1;1;6;1;6;4;139;3;0
146;7;1;2025;0;1;1;1;2;2;2;1;4;6;6;1;1;2;11;7;1;6;1;1;1;1;4;2;4; ;2500000; ; ;6; ;1;6;1;1;6;6;1;1;1;1;6;1;6;1;1;6;1;6;6;1;6;2;142;3;0
146;18;1;2025;0;1;2;1;3;1;5;3;4;7;1;1;1;2;11;7;1;6;1;1;1;1;2;2;4; ;3200000; ; ;6; ;6;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;1;1;1;4;148;3;0
146;20;1;2025;0;1;0;3;3;1;5;3;4;5;1;1;1;2;11;7;1;6;1;1;1;1;2;2;1;1; ;3000000; ;1;1500000;1;6;1;1;6;1;1;1;1;6;6;1;6;6;1;6;6;1;1;1;6;3;105;3;0
146;25;1;2025;0;1;2;2;4;1;3;2;4;5;1;1;6;2;11;7;1;6;1;1;1;1;2;2;4; ;2500000; ; ;6; ;6;6;1;1;6;1;1;1;1;6;6;1;6;1;1;6;1;1;1;1;1;2;141;3;0
